cohort,score,n,events,median_cutoff,high_n,low_n,hr_high_vs_low,ci_lower,ci_upper,p_value,logrank_p,c_index,c1q_genes_available
GSE68465,LST1,442,236,0.22709077678271233,221,221,0.9293394346889818,0.7192706419060974,1.2007605128707461,0.5751168843815537,0.5753902476110928,0.5342112018845986,"C1QA,C1QB"
GSE68465,AIF1,442,236,0.2559988508487496,221,221,1.0568752104047119,0.8182932227577134,1.3650182835483773,0.6717433492326763,0.6691073611865851,0.507950650095891,"C1QA,C1QB"
GSE68465,FCGR3A,442,236,0.15889842581689184,221,221,1.2058249719562324,0.9320587473916834,1.5600023786721904,0.1543101578568033,0.15337327981378726,0.4771598133522599,"C1QA,C1QB"
GSE68465,APOE,442,236,0.05438846143287186,221,221,0.8059900406079803,0.6234590929132067,1.041960816585105,0.09971627722567755,0.09865008901495169,0.5322178765044321,"C1QA,C1QB"
GSE68465,TREM2,442,236,0.19820936273031947,221,221,0.8887135521231649,0.6879101845414908,1.148132118808217,0.3666009378810916,0.367359732933932,0.5197218405037677,"C1QA,C1QB"
GSE72094,C1Q_score,398,113,0.13790859469099404,199,199,1.0937610467777972,0.7553388679745779,1.5838099668514956,0.6351602439109678,0.6345999767488958,0.5203112067538487,"C1QA,C1QB,C1QC"
GSE72094,SPP1,398,113,0.2035161191802648,199,199,1.2342327955002128,0.8522605161881204,1.7874001723107207,0.2653425227055712,0.2641851903456929,0.45654692931633833,"C1QA,C1QB,C1QC"
GSE72094,CD68,398,113,0.0007939708562280465,199,199,0.8423224605891203,0.5819578405347821,1.2191727272905515,0.36306673672271017,0.3625702443587677,0.5307068366164542,"C1QA,C1QB,C1QC"
GSE72094,CD163,398,113,0.12160433866017731,199,199,1.0284567674921559,0.7106258427900255,1.4884391460457322,0.8817355464071399,0.881480779778637,0.5087237212382056,"C1QA,C1QB,C1QC"
GSE72094,MARCO,398,113,0.022200346886648546,199,199,0.8077799490280148,0.5571809766476108,1.1710888802730628,0.2599502318809784,0.25898644903024676,0.5615626551895382,"C1QA,C1QB,C1QC"
GSE72094,MSR1,398,113,0.024750821386881918,199,199,0.8076603403154476,0.5572757646425759,1.1705429640150329,0.2592114659640766,0.2584041634402691,0.5299122661810959,"C1QA,C1QB,C1QC"
GSE72094,MRC1,398,113,0.19236319228956172,199,199,0.7451140507155894,0.5138967976725825,1.0803627325335536,0.12061995856967238,0.11930008074781678,0.5674888263532528,"C1QA,C1QB,C1QC"
GSE72094,LST1,398,113,0.10616210122013656,199,199,0.7066639559866036,0.4861481679301926,1.0272052424197204,0.06886350021816147,0.06751253272315415,0.5780168846217514,"C1QA,C1QB,C1QC"
GSE72094,AIF1,398,113,0.1368917239201902,199,199,0.8321824608079591,0.5748804490701983,1.2046463733398356,0.33035211339746845,0.32990188736481196,0.5309716934282404,"C1QA,C1QB,C1QC"
GSE72094,FCGR3A,398,113,0.13263519892062814,199,199,0.8810020968086059,0.6087772267365786,1.2749568487341119,0.5016838426177971,0.5017097074491592,0.49180599238536665,"C1QA,C1QB,C1QC"
GSE72094,APOE,398,113,0.004774433583523106,199,199,0.8391137943882947,0.5794765794112936,1.2150826883254684,0.353085317608559,0.3529024139111555,0.5393477901009767,"C1QA,C1QB,C1QC"
